Borough,Block,Lot,BIN, Building,Agency,2010 Rating *,2010 Source EUI (kBtu/sq.ft.),2010 GHG Emissions Intensity (kgCO2e/ft²)*,2014 Score *,2014 Source EUI (kBtu/ft²)*,2014 GHG Emissions Intensity (kgCO2e/ft²)*
Brooklyn,1006.0,1.0,3022144.0,Park Slope Branch Library,BPL,Not Available,92.2,3.2,Not Available,189.5,6.7
Brooklyn,1183.0,2.0,3029665.0,Central Library and Learning Center,BPL,Not Available,187.3,5.5,Not Available,168.6,5.1
Brooklyn,1396.0,6.0,3037543.0,Eastern Parkway Branch Library and Learning Center,BPL,Not Available,240.3,7.9,Not Available,262.7,8.6
Queens,9691.0,1.0,4207071.0,Queens Supreme Court,DCAS,74,191.4,6.5,81,161.4,5.6
Brooklyn,1498.0,35.0,3040218.0,Saratoga Branch Library,BPL,Not Available,233.8,6.9,Not Available,196.2,5.7
Brooklyn,1665.0,1.0,3046408.0,Macon Branch Library,BPL,Not Available,234.3,7.7,Not Available,248.4,8.3
Brooklyn,1997.0,32.0,3057384.0,Bedford Branch Library and Learning Center,BPL,Not Available,184.4,5.7,Not Available,171,5.7
Brooklyn,2189.0,1.0,3060090.0,Williamsburg Branch Library,BPL,Not Available,151.7,5.1,Not Available,134.8,4.9
Brooklyn,2762.0,21.0,3068818.0,Leonard Branch Library,BPL,Not Available,241.7,7.3,Not Available,176.7,5.7
Brooklyn,3098.0,19.0,3071470.0,Bushwick Branch Library,BPL,Not Available,190.3,5.7,Not Available,148.3,5.3
Brooklyn,3241.0,18.0,3073751.0,DeKalb Branch Library,BPL,Not Available,186,6,Not Available,171.1,5.9
Brooklyn,3489.0,150.0,3080669.0,Brownsville Branch Library,BPL,Not Available,202.8,6.1,Not Available,185.4,6
Brooklyn,3794.0,18.0,3084596.0,Stone Avenue Branch Library,BPL,Not Available,153.8,4.6,Not Available,197.2,6.9
Brooklyn,3923.0,52.0,3087001.0,Arlington Branch Library,BPL,Not Available,185.8,5.8,Not Available,173.5,5.9
Brooklyn,4090.0,1.0,3090726.0,New Lots Branch Library,BPL,Not Available,155.1,4.9,Not Available,234.8,7.3
Brooklyn,4717.0,38.0,3103597.0,East Flatbush Branch Library,BPL,Not Available,204.3,5.9,Not Available,179.8,5.6
Brooklyn,4791.0,46.0,3106505.0,Crown Heights Branch Library (Leased),BPL,Not Available,178,5,Not Available,165.1,5.1
Brooklyn,5086.0,15.0,3116706.0,Flatbush Branch Library and Learning Center,BPL,Not Available,245.3,8,Not Available,203.7,6.9
Brooklyn,5416.0,14.0,3127572.0,Kensington Branch Library,BPL,Not Available,102,3.2,Not Available,291,9.4
Brooklyn,5518.0,4.0,3132091.0,Mapleton Branch Library,BPL,Not Available,211.9,6.2,Not Available,231.5,7
Brooklyn,5598.0,48.0,3135907.0,Borough Park Branch Library,BPL,Not Available,123.8,3.2,Not Available,136.8,4.8
Brooklyn,5907.0,1.0,3147279.0,Bay Ridge Branch Library,BPL,Not Available,228.9,6.7,Not Available,206.3,6.2
Brooklyn,6302.0,36.0,3164019.0,Dyker Branch Library,BPL,Not Available,223.1,7.1,Not Available,189.8,5.9
Brooklyn,6343.0,64.0,3165745.0,New Utrecht Branch Library,BPL,Not Available,237,6.7,Not Available,236.8,7.1
Brooklyn,6709.0,54.0,3179706.0,Midwood Branch Library,BPL,Not Available,261.4,7.3,Not Available,218.6,6.3
Brooklyn,6783.0,68.0,3182576.0,Kings Highway Branch Library,BPL,Not Available,218.1,6.6,Not Available,226.2,7
Brooklyn,7019.0,43.0,3189001.0,Coney Island Branch Library and Learning Ctr.,BPL,Not Available,223.4,6.9,Not Available,219.1,6.8
Brooklyn,7405.0,920.0,3202630.0,Kings Bay Branch Library,BPL,Not Available,263.6,7.2,Not Available,262.7,7.8
Brooklyn,7868.0,39.0,3219626.0,Flatlands Branch Library,BPL,Not Available,237.8,7.1,Not Available,191.8,6.3
Brooklyn,8680.0,32.0,3245028.0,Brighton Beach Branch Library,BPL,Not Available,263.6,7.7,Not Available,283,9.7
Manhattan,16.0,10.0,1084594.0,Museum of Jewish Heritage,CIG,Not Available,461.8,12,Not Available,446.9,11.8
Manhattan,34.0,37.0,1000866.0,Police Museum,CIG,Not Available,246.3,8,Not Available,18.1,0.5
Manhattan,544.0,16.0,1008774.0,The Public Theater,CIG,Not Available,349.8,9.1,Not Available,625.7,19.5
Manhattan,1008.0,15.0,1023391.0,New York City Center Campus: New York City Center,CIG,Not Available,142.6,6,Not Available,180.5,6.6
Manhattan,1009.0,1.0,1023449.0,Carnegie Hall,CIG,Not Available,236.1,9.2,Not Available,302.2,10.2
Manhattan,1111.0,1.0,1083810.0,Metropolitan Museum of Art,CIG,Not Available,482.1,19.4,Not Available,522.2,18.9
Manhattan,1130.0,1.0,1083846.0,American Museum of Natural History,CIG,Not Available,326.5,12.8,Not Available,341.3,12.3
Manhattan,1134.0,1.0,1081022.0,David H. Koch Theater (Leased),CIG,Not Available,326.8,14.6,Not Available,367.6,14.8
Manhattan,1134.0,1.0,1081023.0,Lincoln Center Campus: Avery Fisher Hall,CIG,Not Available,11.1,0.5,Not Available,10.1,0.3
Bronx,5937.0,440.0,2117850.0,Wave Hill Campus: Glyndor House,CIG,Not Available,45.4,1.6,Not Available,90,3.7
Manhattan,1134.0,1.0,1081022.0,Lincoln Center Campus: Metropolitan Opera House,CIG,Not Available,11.1,0.5,Not Available,10.1,0.3
Queens,10093.0,1.0,4438731.0,Queens Family Court,DCAS,39,289.1,8.7,37,280.9,8.5
Manhattan,1137.0,1.0,1000000.0,Lincoln Center Campus: Lincoln Center Garage (Rose Building) (Leased),CIG,Not Available,11.1,0.5,Not Available,10.1,0.3
Manhattan,1137.0,1.0,1000000.0,Lincoln Center Campus: Lincoln Center Garage / Plaza,CIG,Not Available,11.1,0.5,Not Available,10.1,0.3
Manhattan,1137.0,7501.0,1077844.0,Lincoln Center Campus: Samuel B. & David Rose Building,CIG,Not Available,11.1,0.5,Not Available,10.1,0.3
Manhattan,1570.0,29.0,1050735.0,Metropolitan Museum of Art Storage,CIG,1,499.3,16.5,1,551.9,19.4
Manhattan,1609.0,1.0,1074157.0,Museum of the City of New York,CIG,Not Available,240.3,8,Not Available,312.2,9.7
Manhattan,1610.0,1.0,1051499.0,El Museo Del Barrio,CIG,Not Available,412,10.7,Not Available,401.8,10.6
Manhattan,1909.0,9.0,1057819.0,The Studio Museum in Harlem (Leased),CIG,Not Available,271,7,Not Available,339,9
Manhattan,2179.0,701.0,1064383.0,"The Cloisters, Fort Tryon Park and MET (Leased)",CIG,Not Available,312.2,8.1,Not Available,412.3,10.9
Bronx,2462.0,1.0,2002826.0,Bronx Museum of the Arts,CIG,Not Available,355.1,11.4,Not Available,326.2,10.7
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Administration East,CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Administration West,CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Aquatic Bird House,CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Bronx Zoo Store,CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Center for Global Conservation,CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Congo Gorilla Forest,CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Dancing Crane,CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Farm Apartments,CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Heads & Horns,CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Jungle World,CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Madagascar (Old Lion House),CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Monkey House,CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Mouse House,CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Reptile House,CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Sea Lion Exhibit,CIG,Not Available,654.4,32.8,Not Available,713.9,36
